Famille;Nuance;Numéro;Indice prix tonne;prix min;Indice prix ;prix max;prix réel 2018;prix estimé 2018;dernier prix connu;date d'application du dernier prix;taux d'inflation;prix min internet;prix max internet;incertitude prix ;Usinabilité;% outillage;Dureté en Hb;Rm en Mpa;Rp0.2 en Mpa;A%;Aptitude à la soudure;Traitement thermique;Aptitude au traitement thermique;Résistance à la corrosion;C;Si;Mn;P;S;N;Cr;Mo;Ni;Pb;B;V;Ceq;
;17NiCrMoS6-4;1.6569;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;60;7%;229;1125;735;9;2;cémentation;1;n/a;0,17;0,2;0,75;0,0175;0,03;0;0,95;0,2;0,85;0;0;0;0,58;
Acier pour trempe et revenu;C35E;1.1181;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;55;7%;180,5;775;530;10;2;Trempe + revenu;1;n/a;0,355;0,2;0,65;0,0175;0,0175;0;0,2;0,05;0,2;0;0;0;0,53;
;C35R;1.1180;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;67;5%;180,5;775;530;10;2;Trempe + revenu;1;n/a;0,355;0,2;0,65;0,0175;0,03;0;0,2;0,05;0,2;0;0;0;0,53;
;C40E;1.1186;;1108,00;1108,00;1108,00;1108,00;1108,00;1108;01/07/2018;;;;0%;53;7%;187;790;500;9;2;Trempe + revenu;1;n/a;0,405;0,2;0,65;0,0175;0,0175;0;0,2;0,05;0,2;0;0;0;0,58;
;C40R;1.1189;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;65;5%;187;790;500;9;2;Trempe + revenu;1;n/a;0,405;0,2;0,65;0,0175;0,03;0;0,2;0,05;0,2;0;0;0;0,58;
;C45E;1.1191;;1020,00;1020,00;1020,00;1020,00;1020,00;1020;01/07/2018;;;;0%;53;7%;207;850;570;9;2;Trempe + revenu;1;n/a;0,46;0,2;0,65;0,0175;0,0175;0;0,2;0,05;0,2;0;0;0;0,63;
;C45R;1.1201;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;65;5%;207;850;570;9;2;Trempe + revenu;1;n/a;0,46;0,2;0,65;0,0175;0,03;0;0,2;0,05;0,2;0;0;0;0,63;
;C50E;1.1206;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;48;7%;225;890;600;8;2;Trempe + revenu;1;n/a;0,51;0,2;0,75;0,0175;0,0175;0;0,2;0,05;0,2;0;0;0;0,70;
;C50R;1.1241;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;60;5%;225;890;600;8;2;Trempe + revenu;1;n/a;0,51;0,2;0,75;0,0175;0,03;0;0,2;0,05;0,2;0;0;0;0,70;
;C60E;1.1221;;800,00;800,00;800,00;800,00;800,00;800;01/07/2018;;;;0%;45;7%;238;915;640;7;3;Trempe + revenu;1;n/a;0,61;0,2;0,75;0,0175;0,0175;0;0,2;0,05;0,2;0;0;0;0,80;
;C60R;1.1223;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;57;5%;238;915;640;7;3;Trempe + revenu;1;n/a;0,61;0,2;0,75;0,0175;0,03;0;0,2;0,05;0,2;0;0;0;0,80;
;100Cr6;1,3505;;1300,00;1300,00;1300,00;1300,00;1300,00;1300;01/07/2018;;;;0%;45;5%;187;670;550;11;3;Trempe + revenu;1;n/a;0,941;0,27;0,343;0,01;0,004;0;1,398;0,065;0,152;0;0;0;1,30;
